Country Name,Country Code,Indicator Name,Indicator Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Samoa,WSM,"Population, total",SP.POP.TOTL,180385,182211,184008,185530,186630,187440,188073,188626,189379,190478,191787,193176,194672,196351,198124,199939,201757,203571,205544,207630,209701,211905,214929,218764,222382
Kosovo,XKX,"Population, total",SP.POP.TOTL,1966000,1762000,1700000,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1791000,1807106,1818117,1812771,1788196,1777557,1791003,1797085,1788878,1790133,1786038,1761985
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,17608133,18114552,18628700,19143457,19660653,20188799,20733406,21320671,21966298,22641538,23329004,24029589,24743946,25475610,26223391,26984002,27753304,28516545,29274002,30034389,30790513,31546691,32284046,32981641,33696614
South Africa,ZAF,"Population, total",SP.POP.TOTL,45852166,46364681,46813266,47229714,47661514,48104048,48556071,49017147,49491756,49996094,50565812,51170779,51784921,52443325,53145033,53873616,54729551,55876504,56422274,56641209,57339635,58087055,58801927,59392255,59893885
Zambia,ZMB,"Population, total",SP.POP.TOTL,9372430,9621238,9891136,10191964,10508294,10837973,11188040,11564870,11971567,12402073,12852966,13318087,13792086,14265814,14744658,15234976,15737793,16248230,16767761,17298054,17835893,18380477,18927715,19473125,20017675
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,11548364,11716454,11834676,11910978,11984644,12075828,12160881,12224753,12330490,12450568,12550347,12679810,12839771,13025785,13265331,13555422,13855753,14154937,14452704,14751101,15052184,15354608,15669666,15993524,16320537
Aruba,ABW,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.20935333,48.13795803,48.07241221,47.97940259,47.88572798,47.81717565,47.74748771,47.70064456,47.68633768,47.68305661,47.67949712,47.66762085,47.69535883,47.69271779,47.62613601,47.55734837,47.48441029,47.41168459,47.34252532,47.27567598,47.21126442,47.15056087,47.10888024,47.12635047,47.13514021
Afghanistan,AFG,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.15667979,50.18889991,50.22489403,50.25979967,50.29558687,50.33083493,50.36491525,50.39534532,50.42045056,50.44901806,50.47453572,50.49414637,50.51629192,50.532335,50.54441966,50.55789713,50.56786529,50.57681872,50.58539175,50.58071591,50.56279122,50.54451212,50.52905877,50.51159539,50.49127775
Angola,AGO,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.15602819,49.14284785,49.13212479,49.12470125,49.12011717,49.13118501,49.15051708,49.17080438,49.19051558,49.20930417,49.22901215,49.24855407,49.26624233,49.28318272,49.29889649,49.31374159,49.32836465,49.34250805,49.35790214,49.37428141,49.38838858,49.40112052,49.41144209,49.41920556,49.42755746
Albania,ALB,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.70702391,49.62886424,49.57827117,49.56059908,49.57441066,49.61430538,49.67220898,49.73983013,49.81139627,49.88595752,49.95993819,50.02670155,50.08246382,50.12300674,50.14775985,50.15943809,50.16230355,50.15755524,50.14343664,50.12146818,50.09393423,50.06070184,50.01194691,49.95095824,49.88222653
Andorra,AND,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,52.19985887,52.03411774,51.87073543,51.8298437,51.90334373,51.99642794,52.09987912,52.21231178,52.14220715,51.85625832,51.52981395,51.1658452,50.76553084,50.55054062,50.533001,50.50373422,50.47123051,50.43904887,50.49352082,50.62502539,50.75253623,50.87827306,50.98455598,51.06789483,51.0949088
United Arab Emirates,ARE,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,68.02559284,68.18195465,68.31635135,68.43307766,68.53479486,68.62525545,68.70869215,69.03575876,69.97591731,71.1962489,72.18408041,72.79457211,72.80308558,72.42509071,72.06460866,71.71886117,71.3876186,71.0723986,70.77469271,70.49267029,70.22114143,69.95281088,69.72290838,69.53482301,69.35340042
Argentina,ARG,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.30046881,49.30698092,49.313095,49.3166512,49.31679343,49.32237868,49.33435476,49.34450418,49.35577055,49.3663512,49.37717898,49.39334886,49.41223412,49.43040755,49.44321017,49.45259029,49.46511837,49.47705305,49.48639905,49.4966271,49.50502319,49.50969393,49.50924851,49.50626348,49.50661298
Armenia,ARM,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,47.38133959,47.3052342,47.22367488,47.14319501,47.04771634,46.93823356,46.83817473,46.73518318,46.61895016,46.49834426,46.37659251,46.25212867,46.12816852,46.00829778,45.90561899,45.81232756,45.71560557,45.61704582,45.51441377,45.40879961,45.30122257,45.19485557,45.10651524,45.02005393,44.95928565
American Samoa,ASM,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,51.01143049,50.97753238,50.93079169,50.87785474,50.82764666,50.77406327,50.72883768,50.69340133,50.65890177,50.61986769,50.57164839,50.50030705,50.42936061,50.37378015,50.31383286,50.24436268,50.1733152,50.10707055,50.03171583,49.93833775,49.83892285,49.73479005,49.62436944,49.49261685,49.40482913
Antigua and Barbuda,ATG,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,47.23447059,47.11667412,47.0415029,47.01305517,47.02506639,47.06372078,47.10860009,47.15221175,47.19821991,47.24078229,47.28711967,47.33243429,47.37382578,47.43626699,47.50895362,47.56771416,47.61307096,47.64567883,47.67457268,47.6969677,47.71025691,47.72300444,47.7380644,47.74884948,47.76084383
Australia,AUS,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.66704866,49.64394774,49.6249572,49.61745141,49.6223835,49.62908014,49.63789813,49.65052826,49.67035764,49.70421243,49.74724294,49.77742376,49.7806502,49.7718302,49.76328099,49.74255988,49.70508845,49.66263558,49.62716724,49.60793131,49.60179317,49.60695141,49.62284648,49.64200385,49.65482265
Austria,AUT,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.29343838,48.32472551,48.36533079,48.4231978,48.48653149,48.52889815,48.56507911,48.610763,48.64391976,48.65573554,48.66510334,48.68086591,48.69573442,48.7216012,48.76538575,48.81607361,48.88534678,49.01876453,49.1326777,49.16722895,49.18042652,49.18893596,49.20252269,49.21620312,49.23261254
Azerbaijan,AZE,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.02418725,48.01231237,48.07029308,48.1404,48.21159545,48.28281174,48.37697127,48.49558763,48.61609478,48.73800053,48.86155043,48.94924442,49.00207877,49.05583003,49.10714963,49.15645966,49.20444514,49.24722309,49.27956883,49.30492941,49.3315848,49.36204363,49.37000672,49.34773536,49.34167298
Burundi,BDI,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.20808107,49.22442388,49.23349534,49.23939744,49.25153461,49.27269902,49.30132676,49.32995203,49.35736773,49.38718822,49.41686562,49.44940883,49.48206918,49.50918136,49.5350355,49.5594644,49.58117328,49.59165288,49.59830151,49.61090818,49.62478701,49.63670241,49.64391414,49.65086641,49.65970952
Belgium,BEL,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.89469912,48.8979306,48.90099639,48.90535737,48.91125238,48.92046662,48.93015727,48.93992362,48.95131095,48.96492739,48.98204632,49.00143093,49.02352438,49.04904213,49.07699921,49.10734751,49.14040547,49.17858276,49.2169101,49.25239069,49.28996964,49.32756576,49.36346392,49.38969992,49.41090072
Benin,BEN,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.49854826,49.53323879,49.56435553,49.59432427,49.62720252,49.66106156,49.69563828,49.70637784,49.71786813,49.75449715,49.78617228,49.81139304,49.8349727,49.85830288,49.88565098,49.91515929,49.94318334,49.96901521,49.99309508,50.01566383,50.03679438,50.05616559,50.07288152,50.08666301,50.09633139
Burkina Faso,BFA,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.13098873,49.18369481,49.23832489,49.29805178,49.36438576,49.43230894,49.49894679,49.5579278,49.60208831,49.62605731,49.63070263,49.63162991,49.63436702,49.64028937,49.65661493,49.67390185,49.69185203,49.71369566,49.73784335,49.76167403,49.777477,49.78733167,49.80155303,49.82062319,49.83361385
Bangladesh,BGD,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,51.06782587,51.03251455,50.99594656,50.94774164,50.88322464,50.80345439,50.71869189,50.62562401,50.50139758,50.36879561,50.2242883,50.09239585,50.01216548,49.95351905,49.90350327,49.85193125,49.80310404,49.75974339,49.72907834,49.70669425,49.67778516,49.64116387,49.61369142,49.5984574,49.57124332
Bulgaria,BGR,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.25141741,48.20776641,48.18269801,48.16869242,48.16758017,48.17435887,48.18316263,48.19642336,48.21746899,48.24750762,48.28403918,48.32310486,48.36012878,48.39149,48.41910308,48.4391348,48.45212537,48.46533565,48.47400108,48.47875955,48.49068435,48.50618189,48.5054179,48.49575972,48.49321427
Bahrain,BHR,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,58.87366837,58.92032312,58.97458964,59.04072128,59.12438997,59.37801957,59.89050346,60.4477554,60.91839078,61.32065136,61.67139343,61.98805718,62.12689872,62.19151094,62.48662178,62.39833935,61.83227649,61.79230947,62.21531276,62.61502683,62.66179892,62.46931444,62.29775379,62.09736446,61.9602332
"Bahamas, The",BHS,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.95782472,48.92778638,48.88374039,48.83231299,48.78713301,48.73851517,48.68824124,48.64118872,48.59101014,48.53019297,48.4640086,48.4039157,48.33954864,48.27437492,48.22554514,48.18021522,48.13546081,48.09153113,48.04331576,47.9903263,47.93558693,47.88867823,47.85236831,47.8119959,47.76210779
Bosnia and Herzegovina,BIH,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.74659148,48.76915898,48.77969062,48.78458101,48.79895008,48.81084155,48.80613875,48.79694854,48.78543727,48.78247231,48.78604511,48.78638386,48.78562237,48.78676791,48.78403777,48.80774578,48.87137405,48.94322996,49.01108479,49.0700509,49.12272446,49.17126168,49.20595937,49.22641575,49.22842742
Belarus,BLR,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,46.64072274,46.60889694,46.58335611,46.56426508,46.54173081,46.51262413,46.48441875,46.45405415,46.42414453,46.40354668,46.38445759,46.35961642,46.32673091,46.28386519,46.25166177,46.2405598,46.23475008,46.23172628,46.23074934,46.22366417,46.21004388,46.18260691,46.14006606,46.09446672,46.04391379
Belize,BLZ,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.60091504,50.57855998,50.55614253,50.51511487,50.4556872,50.39432117,50.33146167,50.2708872,50.21352202,50.15731577,50.10321555,50.05140513,50.0546404,50.10954731,50.16065437,50.20975491,50.25359388,50.28607473,50.31077038,50.33133792,50.34706046,50.35890978,50.34171391,50.30385145,50.27413688
Bermuda,BMU,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.83586621,48.7725685,48.72170895,48.69096385,48.67957321,48.68892873,48.70098821,48.69359424,48.6770977,48.64779277,48.62626071,48.63384528,48.63429319,48.63299388,48.63278792,48.62375209,48.61810433,48.62536425,48.59199594,48.52311339,48.46077614,48.38901774,48.31878309,48.23868505,48.18802194
Bolivia,BOL,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.42519978,50.46915222,50.50645575,50.51768311,50.50462425,50.48964502,50.47512125,50.46165307,50.447941,50.4343151,50.42011142,50.4048375,50.38870146,50.37212471,50.35490611,50.33699454,50.31947001,50.30267126,50.2859847,50.26905174,50.25216455,50.23551633,50.20269497,50.15572701,50.11705556
Brazil,BRA,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.57896701,49.56093329,49.53800374,49.51028938,49.48205914,49.45461483,49.42754991,49.40204393,49.37878786,49.3570023,49.33752159,49.31990326,49.302319,49.28519674,49.26893626,49.25367672,49.2408131,49.22733692,49.20941587,49.19164081,49.17739209,49.16346354,49.14685951,49.12664933,49.10654835
Barbados,BRB,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,47.95176793,47.94261271,47.93374065,47.91523003,47.89138879,47.8655995,47.83672557,47.80667738,47.77331977,47.74281251,47.7205788,47.69806166,47.70176658,47.73346014,47.76119943,47.78646633,47.80985466,47.83104325,47.85016275,47.86899103,47.88764623,47.90563209,47.92709473,47.94914651,47.96420899
Brunei Darussalam,BRN,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,52.82928109,52.75390237,52.68143241,52.61336824,52.54286068,52.46734172,52.39318539,52.32536261,52.2598764,52.19671127,52.13486302,52.07437146,52.01500809,51.9723242,51.94671375,51.92299284,51.90012864,51.87869124,51.8575379,51.83626324,51.8147529,51.79249763,51.7690871,51.74337016,51.71580527
Bhutan,BTN,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,51.65119188,51.78707158,52.08299629,52.3670748,52.63872915,52.89910451,53.14581279,53.30103132,53.32115379,53.29027866,53.26407022,53.24290002,53.22614937,53.2121834,53.19984192,53.18752238,53.17597307,53.1682798,53.16827629,53.1448009,53.09436082,53.04556986,52.99738772,52.94860615,52.90144481
Botswana,BWA,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.39140448,48.45609787,48.52045617,48.58297435,48.64360798,48.70294051,48.76183714,48.81939891,48.88329158,48.9542074,49.02227846,49.08137982,49.12992718,49.16358058,49.18588322,49.20212982,49.21247615,49.22849541,49.25094031,49.27497252,49.30544026,49.33396061,49.3523018,49.36345412,49.37873912
Central African Republic,CAF,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.3442976,50.3175337,50.2978051,50.26442393,50.2334984,50.22294151,50.2144764,50.20704071,50.19870285,50.18967819,50.1807047,50.17103585,50.16048053,50.15177444,50.14453295,50.13120447,50.10698655,50.08614263,50.07313154,50.0553861,50.03662572,50.02284365,50.01066812,49.9945576,49.97813285
Canada,CAN,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.49612557,49.49749633,49.51343422,49.53455923,49.54740694,49.55135209,49.55523165,49.56195565,49.56571045,49.56266054,49.55954568,49.55921931,49.55942883,49.56682924,49.58556294,49.60504871,49.61463208,49.61611296,49.61927291,49.63251704,49.6573616,49.67979284,49.68906169,49.6920457,49.69614213
Switzerland,CHE,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.8392806,48.85419026,48.86671079,48.86697212,48.88483168,48.91428942,48.94288167,48.97408404,49.00764012,49.0671719,49.15033316,49.20744388,49.24704392,49.29065696,49.33929801,49.39210844,49.43611775,49.47617238,49.53313656,49.5754043,49.58537467,49.59678567,49.61450409,49.63511082,49.65904587
Channel Islands,CHI,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.37009659,48.42035481,48.46324309,48.51140752,48.57678692,48.63625945,48.68929637,48.74638508,48.79526792,48.83242834,48.87037469,48.9038017,48.92852364,48.95069004,48.97427815,49.00904284,49.04265038,49.07700845,49.10304726,49.1423245,49.23710675,49.34979842,49.43370424,49.47997498,49.49735754
Chile,CHL,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.70066832,49.69447979,49.68574041,49.675225,49.66440866,49.65494915,49.64581645,49.63683851,49.63265344,49.63156703,49.62912618,49.62619361,49.62304523,49.62161922,49.62113731,49.6184878,49.61551091,49.61324275,49.61289002,49.6194071,49.6287721,49.63581736,49.63627278,49.63284602,49.6310116
China,CHN,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,51.09485484,51.1104154,51.12782588,51.13916289,51.14534576,51.15106704,51.15660651,51.16191651,51.16753037,51.17280211,51.17753547,51.18224912,51.18559994,51.18708534,51.18750148,51.18633612,51.18303979,51.17688005,51.16769013,51.15316754,51.13426549,51.11472674,51.08979893,51.05924642,51.03096283
Cote d'Ivoire,CIV,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.49266694,50.45311685,50.41457957,50.38015785,50.3805694,50.41423952,50.45372844,50.49970704,50.54966065,50.60172472,50.65289749,50.7012461,50.74783942,50.75519478,50.72588292,50.6978554,50.67095793,50.64482422,50.6206176,50.59712614,50.57408829,50.55206891,50.52859582,50.50436074,50.48045595
Cameroon,CMR,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.60452612,49.6137043,49.62290928,49.63338558,49.64579375,49.65997376,49.67362025,49.68750237,49.70178296,49.71539896,49.72854407,49.74147579,49.75401493,49.76630252,49.77909144,49.79219567,49.8045726,49.81544495,49.82754454,49.84113388,49.85189666,49.86160489,49.86819152,49.87101188,49.87552722
"Congo, Dem. Rep.",COD,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.48483212,49.45099055,49.43626437,49.44063021,49.44501935,49.45007051,49.45984271,49.47278656,49.48569439,49.49921563,49.51263077,49.52315249,49.5324181,49.5425157,49.55292884,49.56276421,49.57133099,49.57898928,49.5860746,49.59410273,49.60197149,49.60733488,49.61164059,49.61185523,49.60905952
"Congo, Rep.",COG,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.40343855,49.42752893,49.47313842,49.52086613,49.5596126,49.59898127,49.63999557,49.6792808,49.71629731,49.74937625,49.77812022,49.80541338,49.82838668,49.84608055,49.86284431,49.87678296,49.88734769,49.89969169,49.91065824,49.91841637,49.92753253,49.93513421,49.9380061,49.94055663,49.94285163
Colombia,COL,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.69992948,49.67383078,49.64890469,49.62524733,49.60329806,49.58384285,49.56625807,49.54979212,49.5327767,49.51421241,49.49553367,49.47873599,49.46420827,49.44988401,49.4347426,49.41913706,49.40358667,49.38987339,49.3805657,49.37693053,49.37612528,49.37354403,49.36041868,49.334119,49.30330255
Comoros,COM,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.76538834,49.7314999,49.69334411,49.67256422,49.66863251,49.6639363,49.69336871,49.76032719,49.81907128,49.8728317,49.92215674,49.96630313,50.00472544,50.03723486,50.06434856,50.08600315,50.10215334,50.11298027,50.11832781,50.13811865,50.1726752,50.20645119,50.22575996,50.2300928,50.23542797
Cabo Verde,CPV,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.40872848,48.45460793,48.55810462,48.71705175,48.86915692,49.0134121,49.1498881,49.28159374,49.40908107,49.53034575,49.64748715,49.7633999,49.80583716,49.78266268,49.77409977,49.76793718,49.75571166,49.74536643,49.73835679,49.73555369,49.73459477,49.73294283,49.7296787,49.72470978,49.7195477
Costa Rica,CRI,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.34956892,50.33831185,50.32691302,50.31809262,50.30979064,50.30072029,50.29114936,50.28092719,50.26821696,50.25462729,50.24117482,50.22689485,50.21407314,50.2031015,50.19219511,50.18074584,50.16747559,50.15216817,50.13521179,50.11890645,50.10127493,50.0808334,50.05991484,50.03419703,50.00568442
Cuba,CUB,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.30526318,50.25184068,50.19761312,50.14265481,50.09204524,50.05905324,50.03866268,50.01832633,49.99848143,49.97964931,49.96179259,49.94479839,49.92888217,49.91404328,49.89756209,49.87949119,49.86147226,49.84192974,49.8188064,49.79130509,49.76198429,49.73431735,49.70328381,49.65416921,49.61290795
Curacao,CUW,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,46.71531842,46.54976231,46.39170155,46.30131337,46.28170488,46.26016715,46.21837155,46.16502448,46.09926235,46.02975302,45.96117397,45.89389211,45.82318986,45.74367412,45.79073853,45.94910194,46.06993007,46.15561531,46.2097119,46.24134232,47.57094445,48.287219,47.87096911,47.91528754,47.94180882
Cayman Islands,CYM,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.06217014,49.05862384,49.08971708,49.1450285,49.20388167,49.25675984,49.29337985,49.32052133,49.35342591,49.39472677,49.43763081,49.49051367,49.55616378,49.6810351,49.85578614,50.01030715,50.12340704,50.19126266,50.22889728,50.25715229,50.28512422,50.32963377,50.42415058,50.48432547,50.45993072
Cyprus,CYP,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.52664378,50.49130528,50.45732238,50.4244271,50.39371041,50.36387264,50.33337129,50.30364626,50.27505168,50.24653753,50.21759628,50.18767316,50.15482178,50.13012123,50.11992502,50.11525595,50.11142783,50.10932552,50.10455963,50.09660553,50.09636283,50.09919957,50.09401739,50.08519613,50.08238193
Czechia,CZE,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.65469849,48.67048936,48.68612789,48.71240033,48.7501575,48.7882461,48.82540189,48.86376249,48.90465282,48.94384498,48.98298737,49.02358679,49.06359436,49.09171058,49.10452937,49.10808373,49.11967864,49.14550811,49.172446,49.19834721,49.22373366,49.24869062,49.25940701,49.24888811,49.26128165
Germany,DEU,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.61488004,48.62649683,48.63179331,48.63374483,48.63740938,48.64566662,48.65896996,48.68129244,48.71721544,48.76473431,48.82327797,48.89005701,48.95926214,49.02844365,49.09672525,49.16229365,49.21988436,49.26743832,49.30042689,49.32057579,49.33227857,49.3379389,49.34113804,49.34025232,49.3419449
Djibouti,DJI,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.69176308,49.70634068,49.71948687,49.7337653,49.74750643,49.75837383,49.76703777,49.77198352,49.77489737,49.77612009,49.77448957,49.77499797,49.77387921,49.77023114,49.76427674,49.75822045,49.74921316,49.73689676,49.72651161,49.71395832,49.69967783,49.68612488,49.66912992,49.64827684,49.62880816
Dominica,DMA,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.87089849,49.91702815,49.94147426,49.97432248,50.04101843,50.10958184,50.18520139,50.26502024,50.31858253,50.35259905,50.3954523,50.44121709,50.49378227,50.50478601,50.46016723,50.48315146,50.34668666,50.20069422,50.20192651,50.13848842,50.05718481,49.94259954,49.84096118,49.76937524,49.71472566
Denmark,DNK,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.39503589,49.41235229,49.43170828,49.44908808,49.4671479,49.48295655,49.49300039,49.5031835,49.5153965,49.52962942,49.54494579,49.55948229,49.57459661,49.5889359,49.60388034,49.62014155,49.63594473,49.65262929,49.67126388,49.68885975,49.70485648,49.71992164,49.73327399,49.74440747,49.75141361
Dominican Republic,DOM,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.40158771,50.5135784,50.62107245,50.72560514,50.7660003,50.74626799,50.72862518,50.710569,50.6903365,50.66664142,50.63902481,50.60774388,50.57367948,50.53824632,50.50272748,50.46799509,50.43468197,50.4032162,50.37373219,50.34566692,50.3179453,50.28918711,50.25137131,50.20946003,50.17678169
Algeria,DZA,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,51.03551692,51.02074953,51.01022365,51.00112384,50.99455818,50.9926961,50.99367626,50.99546101,50.99710544,50.99621652,50.9944115,50.99136872,50.98856704,50.98624405,50.98148946,50.97572603,50.96916505,50.96263186,50.95849264,50.95545212,50.95189122,50.94652972,50.93682484,50.92412465,50.9144655
Ecuador,ECU,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.08923585,50.08465164,50.08024785,50.07627951,50.07274718,50.06936225,50.06581284,50.06169203,50.05653127,50.05018652,50.04273013,50.0347289,50.02708214,50.020948,50.01689176,50.01463144,50.01389899,50.01405294,50.0141944,50.01334376,50.01066664,50.00517189,49.97640801,49.93238747,49.91168268
"Egypt, Arab Rep.",EGY,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.59734745,50.61753476,50.63276142,50.64377223,50.65861909,50.67194665,50.67743558,50.67554968,50.66729778,50.65830296,50.6484667,50.63787861,50.62982499,50.63799065,50.64588401,50.63866403,50.63056423,50.62491789,50.61905197,50.60991428,50.59800648,50.58708228,50.58142951,50.57586075,50.56720418
Eritrea,ERI,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.14418365,48.93436261,48.81247702,48.84779281,48.895865,48.9491933,48.99983352,49.03158208,49.05515204,49.07896607,49.11359085,49.14526727,49.17011545,49.19147517,49.20814021,49.22537448,49.23682647,49.24479178,49.25499668,49.2668828,49.28240011,49.29836305,49.31321973,49.32834518,49.34479396
Spain,ESP,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.97378268,48.97740953,48.98203806,48.985421,49.03329757,49.11499974,49.20034294,49.28950362,49.34944826,49.41172196,49.46157572,49.45140344,49.41120533,49.36519179,49.30071557,49.22512511,49.16714895,49.12921535,49.09571009,49.06054782,49.03230663,49.01817414,49.0094409,49.00657834,49.01121416
Estonia,EST,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,46.54943815,46.5866713,46.60911447,46.58993728,46.55527682,46.52598018,46.50255417,46.49196626,46.48962768,46.48314826,46.49722403,46.53778946,46.58285362,46.62486657,46.65906091,46.702914,46.75723417,46.82209884,46.89853381,47.00758757,47.15054593,47.28527195,47.37627158,47.42752508,47.4767394
Ethiopia,ETH,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.07717644,50.10250919,50.13341043,50.17472018,50.21066797,50.2409072,50.26836952,50.29177123,50.31069863,50.32420838,50.3314949,50.33369206,50.33348596,50.33396146,50.33334011,50.32944851,50.32379095,50.31668537,50.30574141,50.29563776,50.28638406,50.27614297,50.26545958,50.25098388,50.23521898
Finland,FIN,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.75487626,48.77681521,48.80396058,48.83348156,48.86509162,48.89551848,48.91763631,48.93576545,48.9540472,48.97735526,49.01267562,49.0437672,49.06958832,49.09781918,49.12534663,49.15513732,49.18310922,49.21412891,49.25905592,49.30368509,49.33770722,49.36594647,49.39023067,49.40444278,49.41221803
Fiji,FJI,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.80490499,50.82570055,50.84689775,50.86899158,50.89099661,50.91470874,50.9407011,50.9665422,50.99384769,51.02565772,51.009054,50.9393898,50.86806994,50.79599936,50.72536466,50.65569876,50.58477871,50.51166594,50.44029047,50.3717551,50.30228641,50.23228974,50.18111258,50.14903581,50.13519531
France,FRA,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.52393781,48.51444867,48.50623756,48.49692379,48.48734402,48.48005957,48.47066397,48.45818826,48.4463539,48.43405548,48.42260275,48.41302191,48.40372262,48.39392004,48.38640217,48.38107352,48.37501962,48.36977078,48.36553425,48.3625022,48.35990829,48.35616077,48.35011069,48.34113274,48.32527236
Faroe Islands,FRO,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,51.71737435,51.70674513,51.71484888,51.73316034,51.78262448,51.83786293,51.88689075,51.93721397,51.94461118,51.91993549,51.90968995,51.9337587,51.92935344,51.88690944,51.83501405,51.77826428,51.68678428,51.64085546,51.65656566,51.68027075,51.73192032,51.75789942,51.75999237,51.76879881,51.76492748
Gabon,GAB,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.66532543,49.71090393,49.75752886,49.8083561,49.86524518,49.92563831,49.99379018,50.07457042,50.16631903,50.2675874,50.37388014,50.48393086,50.60010929,50.72016925,50.83919301,50.94873059,51.03528221,51.08672986,51.10286328,51.08837196,51.0566548,51.02241187,50.98297851,50.93207311,50.87940855
United Kingdom,GBR,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.67152326,48.69694829,48.72475284,48.75347289,48.78544753,48.82170181,48.8590586,48.89607287,48.93257483,48.96927843,49.00845291,49.04551453,49.08020373,49.11474924,49.15124071,49.1888338,49.22330279,49.25779115,49.29146895,49.32191731,49.35014895,49.37514693,49.39254072,49.40260361,49.41637948
Georgia,GEO,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,46.60336999,46.5687458,46.52445435,46.47457667,46.43500525,46.458793,46.53602784,46.60886574,46.67394703,46.74611606,46.82462398,46.89971986,46.97274913,47.04319744,47.10820964,47.166116,47.17557333,47.14313898,47.11602154,47.09772263,47.08478193,47.0654456,47.0391767,47.01709429,47.00374027
